#Saved Data from the class odmr_logic on 23.06.2022 at 18h43m21s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -1.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 1.8000000000000000e+02
#Number of frequency sweeps (#): 12
#Start Frequency (Hz): 2.8000000000000000000000000
#Stop Frequency (Hz): 2.9500000000000000000000000
#Step size (Hz): 5.0000000000000000e+05
#Clock Frequencies (Hz): 20
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2800000000000	2240042000
2800500000000	2238324000
2801000000000	2242889000
2801500000000	2241093000
2802000000000	2240151000
2802500000000	2240807000
2803000000000	2238802000
2803500000000	2240002000
2804000000000	2242255000
2804500000000	2242056000
2805000000000	2238169000
2805500000000	2239245000
2806000000000	2241913000
2806500000000	2243271000
2807000000000	2237867000
2807500000000	2239438000
2808000000000	2241631000
2808500000000	2241905000
2809000000000	2239855000
2809500000000	2240455000
2810000000000	2241422000
2810500000000	2239342000
2811000000000	2241333000
2811500000000	2241709000
2812000000000	2244320000
2812500000000	2242171000
2813000000000	2241033000
2813500000000	2234171000
2814000000000	2239105000
2814500000000	2242009000
2815000000000	2240816000
2815500000000	2240264000
2816000000000	2241931000
2816500000000	2240355000
2817000000000	2239647000
2817500000000	2240715000
2818000000000	2238656000
2818500000000	2237011000
2819000000000	2239056000
2819500000000	2241187000
2820000000000	2238545000
2820500000000	2240747000
2821000000000	2240769000
2821500000000	2241093000
2822000000000	2240429000
2822500000000	2240022000
2823000000000	2237109000
2823500000000	2239011000
2824000000000	2240645000
2824500000000	2243140000
2825000000000	2239600000
2825500000000	2238216000
2826000000000	2240625000
2826500000000	2239315000
2827000000000	2238782000
2827500000000	2238578000
2828000000000	2237567000
2828500000000	2241076000
2829000000000	2239295000
2829500000000	2240155000
2830000000000	2238440000
2830500000000	2242609000
2831000000000	2239216000
2831500000000	2237987000
2832000000000	2238969000
2832500000000	2239175000
2833000000000	2240411000
2833500000000	2241787000
2834000000000	2239985000
2834500000000	2239573000
2835000000000	2237509000
2835500000000	2234204000
2836000000000	2233576000
2836500000000	2232109000
2837000000000	2232938000
2837500000000	2238282000
2838000000000	2233544000
2838500000000	2233122000
2839000000000	2236265000
2839500000000	2234329000
2840000000000	2234289000
2840500000000	2234438000
2841000000000	2232165000
2841500000000	2233851000
2842000000000	2235122000
2842500000000	2237836000
2843000000000	2237475000
2843500000000	2239135000
2844000000000	2238516000
2844500000000	2237635000
2845000000000	2232558000
2845500000000	2232416000
2846000000000	2233082000
2846500000000	2231520000
2847000000000	2236871000
2847500000000	2231175000
2848000000000	2231707000
2848500000000	2230247000
2849000000000	2232907000
2849500000000	2236151000
2850000000000	2232755000
2850500000000	2230751000
2851000000000	2233545000
2851500000000	2241753000
2852000000000	2238311000
2852500000000	2238855000
2853000000000	2238280000
2853500000000	2238636000
2854000000000	2238476000
2854500000000	2241244000
2855000000000	2240738000
2855500000000	2238255000
2856000000000	2238136000
2856500000000	2236051000
2857000000000	2236758000
2857500000000	2239282000
2858000000000	2237447000
2858500000000	2238609000
2859000000000	2239245000
2859500000000	2241444000
2860000000000	2236256000
2860500000000	2234222000
2861000000000	2237309000
2861500000000	2234976000
2862000000000	2230209000
2862500000000	2228933000
2863000000000	2231805000
2863500000000	2229916000
2864000000000	2227611000
2864500000000	2230895000
2865000000000	2221053000
2865500000000	2220898000
2866000000000	2225369000
2866500000000	2226735000
2867000000000	2221138000
2867500000000	2227071000
2868000000000	2228755000
2868500000000	2235038000
2869000000000	2230507000
2869500000000	2229758000
2870000000000	2232551000
2870500000000	2231491000
2871000000000	2238629000
2871500000000	2234340000
2872000000000	2232222000
2872500000000	2231527000
2873000000000	2232902000
2873500000000	2229005000
2874000000000	2230416000
2874500000000	2224891000
2875000000000	2223058000
2875500000000	2223624000
2876000000000	2229195000
2876500000000	2227069000
2877000000000	2223722000
2877500000000	2227109000
2878000000000	2233545000
2878500000000	2230033000
2879000000000	2232004000
2879500000000	2231869000
