#Saved Data from the class odmr_logic on 10.06.2022 at 17h29m34s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 5.0000000000000000e+02
#Number of frequency sweeps (#): 49
#Start Frequency (Hz): 2.8200000000000000e+09
#Stop Frequency (Hz): 2.9200000000000000e+09
#Step size (Hz): 5.0000000000000000e+05
#Clock Frequencies (Hz): 20
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.820000e+09	1.017804e+00
2.820500e+09	1.031391e+00
2.821000e+09	1.039814e+00
2.821500e+09	1.046429e+00
2.822000e+09	1.052099e+00
2.822500e+09	1.056982e+00
2.823000e+09	1.061426e+00
2.823500e+09	1.065603e+00
2.824000e+09	1.069253e+00
2.824500e+09	1.072848e+00
2.825000e+09	1.076190e+00
2.825500e+09	1.079340e+00
2.826000e+09	1.082490e+00
2.826500e+09	1.085243e+00
2.827000e+09	1.087935e+00
2.827500e+09	1.090551e+00
2.828000e+09	1.093077e+00
2.828500e+09	1.095508e+00
2.829000e+09	1.097851e+00
2.829500e+09	1.100199e+00
2.830000e+09	1.102384e+00
2.830500e+09	1.104562e+00
2.831000e+09	1.106650e+00
2.831500e+09	1.108657e+00
2.832000e+09	1.110567e+00
2.832500e+09	1.112546e+00
2.833000e+09	1.114293e+00
2.833500e+09	1.116121e+00
2.834000e+09	1.117833e+00
2.834500e+09	1.119552e+00
2.835000e+09	1.121291e+00
2.835500e+09	1.122935e+00
2.836000e+09	1.124469e+00
2.836500e+09	1.126119e+00
2.837000e+09	1.127674e+00
2.837500e+09	1.129112e+00
2.838000e+09	1.130639e+00
2.838500e+09	1.131988e+00
2.839000e+09	1.133467e+00
2.839500e+09	1.134775e+00
2.840000e+09	1.136110e+00
2.840500e+09	1.137377e+00
2.841000e+09	1.138692e+00
2.841500e+09	1.140021e+00
2.842000e+09	1.141246e+00
2.842500e+09	1.142479e+00
2.843000e+09	1.143725e+00
2.843500e+09	1.144965e+00
2.844000e+09	1.146074e+00
2.844500e+09	1.147279e+00
2.845000e+09	1.148382e+00
2.845500e+09	1.149484e+00
2.846000e+09	1.150546e+00
2.846500e+09	1.151594e+00
2.847000e+09	1.152600e+00
2.847500e+09	1.153682e+00
2.848000e+09	1.154764e+00
2.848500e+09	1.155791e+00
2.849000e+09	1.156791e+00
2.849500e+09	1.157784e+00
2.850000e+09	1.158729e+00
2.850500e+09	1.159661e+00
2.851000e+09	1.160551e+00
2.851500e+09	1.161571e+00
2.852000e+09	1.162366e+00
2.852500e+09	1.163406e+00
2.853000e+09	1.164256e+00
2.853500e+09	1.165180e+00
2.854000e+09	1.166009e+00
2.854500e+09	1.166913e+00
2.855000e+09	1.167734e+00
2.855500e+09	1.168556e+00
2.856000e+09	1.169378e+00
2.856500e+09	1.170186e+00
2.857000e+09	1.170946e+00
2.857500e+09	1.171823e+00
2.858000e+09	1.172596e+00
2.858500e+09	1.173309e+00
2.859000e+09	1.174117e+00
2.859500e+09	1.174856e+00
2.860000e+09	1.175582e+00
2.860500e+09	1.176322e+00
2.861000e+09	1.177102e+00
2.861500e+09	1.177774e+00
2.862000e+09	1.178582e+00
2.862500e+09	1.179171e+00
2.863000e+09	1.179965e+00
2.863500e+09	1.180595e+00
2.864000e+09	1.181321e+00
2.864500e+09	1.182074e+00
2.865000e+09	1.182663e+00
2.865500e+09	1.183327e+00
2.866000e+09	1.183944e+00
2.866500e+09	1.184608e+00
2.867000e+09	1.185272e+00
2.867500e+09	1.186025e+00
2.868000e+09	1.186532e+00
2.868500e+09	1.187142e+00
2.869000e+09	1.187785e+00
2.869500e+09	1.188395e+00
2.870000e+09	1.189059e+00
2.870500e+09	1.189614e+00
2.871000e+09	1.190237e+00
2.871500e+09	1.190785e+00
2.872000e+09	1.191401e+00
2.872500e+09	1.191976e+00
2.873000e+09	1.192565e+00
2.873500e+09	1.193099e+00
2.874000e+09	1.193661e+00
2.874500e+09	1.194257e+00
2.875000e+09	1.194791e+00
2.875500e+09	1.195346e+00
2.876000e+09	1.195791e+00
2.876500e+09	1.196400e+00
2.877000e+09	1.196941e+00
