#Saved Data from the class odmr_logic on 15.07.2022 at 12h35m33s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -1.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 3.0000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.8000000000000000e+09
#Stop Frequency (Hz): 2.9500000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.800000e+09	4.395252e+06
2.802000e+09	4.391761e+06
2.804000e+09	4.391755e+06
2.806000e+09	4.394879e+06
2.808000e+09	4.393160e+06
2.810000e+09	4.392179e+06
2.812000e+09	4.393075e+06
2.814000e+09	4.391598e+06
2.816000e+09	4.389712e+06
2.818000e+09	4.393165e+06
2.820000e+09	4.390297e+06
2.822000e+09	4.389502e+06
2.824000e+09	4.389029e+06
2.826000e+09	4.382730e+06
2.828000e+09	4.379884e+06
2.830000e+09	4.377483e+06
2.832000e+09	4.378247e+06
2.834000e+09	4.385881e+06
2.836000e+09	4.384556e+06
2.838000e+09	4.385074e+06
2.840000e+09	4.381533e+06
2.842000e+09	4.379270e+06
2.844000e+09	4.380269e+06
2.846000e+09	4.379025e+06
2.848000e+09	4.386182e+06
2.850000e+09	4.382683e+06
2.852000e+09	4.382309e+06
2.854000e+09	4.384472e+06
2.856000e+09	4.389628e+06
2.858000e+09	4.390209e+06
2.860000e+09	4.392972e+06
2.862000e+09	4.390561e+06
2.864000e+09	4.390369e+06
2.866000e+09	4.394485e+06
2.868000e+09	4.392750e+06
2.870000e+09	4.392681e+06
2.872000e+09	4.391025e+06
2.874000e+09	4.392935e+06
2.876000e+09	4.392204e+06
2.878000e+09	4.390469e+06
2.880000e+09	4.390375e+06
2.882000e+09	4.393387e+06
2.884000e+09	4.391326e+06
2.886000e+09	4.390330e+06
2.888000e+09	4.387989e+06
2.890000e+09	4.386296e+06
2.892000e+09	4.385272e+06
2.894000e+09	4.383322e+06
2.896000e+09	4.384535e+06
2.898000e+09	4.377552e+06
2.900000e+09	4.374845e+06
2.902000e+09	4.372567e+06
2.904000e+09	4.384002e+06
2.906000e+09	4.385375e+06
2.908000e+09	4.388339e+06
2.910000e+09	4.380789e+06
2.912000e+09	4.379974e+06
2.914000e+09	4.382348e+06
2.916000e+09	4.388745e+06
2.918000e+09	4.388344e+06
2.920000e+09	4.391135e+06
2.922000e+09	4.391885e+06
2.924000e+09	4.392931e+06
2.926000e+09	4.392218e+06
2.928000e+09	4.393333e+06
2.930000e+09	4.392728e+06
2.932000e+09	4.391385e+06
2.934000e+09	4.391283e+06
2.936000e+09	4.392436e+06
2.938000e+09	4.392770e+06
2.940000e+09	4.393217e+06
2.942000e+09	4.392906e+06
2.944000e+09	4.394112e+06
2.946000e+09	4.392359e+06
2.948000e+09	4.391639e+06
2.950000e+09	4.392985e+06
