#Saved Data from the class odmr_logic on 01.08.2022 at 16h57m14s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -5.0000000000000000e+00
#Microwave Sweep Power (dBm): -3.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+02
#Number of frequency sweeps (#): 53
#Start Frequency (Hz): 2.6500000000000000e+09
#Stop Frequency (Hz): 3.0900000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.650000e+09	6.869995e+06
2.652000e+09	6.873054e+06
2.654000e+09	6.873670e+06
2.656000e+09	6.874227e+06
2.658000e+09	6.873075e+06
2.660000e+09	6.873747e+06
2.662000e+09	6.870168e+06
2.664000e+09	6.871060e+06
2.666000e+09	6.872768e+06
2.668000e+09	6.873638e+06
2.670000e+09	6.874028e+06
2.672000e+09	6.873927e+06
2.674000e+09	6.874975e+06
2.676000e+09	6.875223e+06
2.678000e+09	6.872552e+06
2.680000e+09	6.873796e+06
2.682000e+09	6.872941e+06
2.684000e+09	6.873752e+06
2.686000e+09	6.873135e+06
2.688000e+09	6.872128e+06
2.690000e+09	6.873204e+06
2.692000e+09	6.874028e+06
2.694000e+09	6.871570e+06
2.696000e+09	6.872213e+06
2.698000e+09	6.873556e+06
2.700000e+09	6.875265e+06
2.702000e+09	6.874510e+06
2.704000e+09	6.871979e+06
2.706000e+09	6.872214e+06
2.708000e+09	6.872363e+06
2.710000e+09	6.873886e+06
2.712000e+09	6.871122e+06
2.714000e+09	6.873433e+06
2.716000e+09	6.873122e+06
2.718000e+09	6.873321e+06
2.720000e+09	6.873335e+06
2.722000e+09	6.871868e+06
2.724000e+09	6.871870e+06
2.726000e+09	6.870946e+06
2.728000e+09	6.868822e+06
2.730000e+09	6.869534e+06
2.732000e+09	6.862135e+06
2.734000e+09	6.856615e+06
2.736000e+09	6.835849e+06
2.738000e+09	6.809315e+06
2.740000e+09	6.802535e+06
2.742000e+09	6.810674e+06
2.744000e+09	6.841135e+06
2.746000e+09	6.856512e+06
2.748000e+09	6.863140e+06
2.750000e+09	6.867000e+06
2.752000e+09	6.868599e+06
2.754000e+09	6.865772e+06
2.756000e+09	6.865861e+06
