#Saved Data from the class odmr_logic on 01.08.2022 at 17h11m15s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -5.0000000000000000e+00
#Microwave Sweep Power (dBm): -3.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+02
#Number of frequency sweeps (#): 53
#Start Frequency (Hz): 2.6500000000000000e+09
#Stop Frequency (Hz): 3.0900000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.650000e+09	3.159715e-01
2.652000e+09	3.255292e-01
2.654000e+09	3.304028e-01
2.656000e+09	3.358265e-01
2.658000e+09	3.386710e-01
2.660000e+09	3.429568e-01
2.662000e+09	3.449290e-01
2.664000e+09	3.485574e-01
2.666000e+09	3.500682e-01
2.668000e+09	3.531340e-01
2.670000e+09	3.543098e-01
2.672000e+09	3.571606e-01
2.674000e+09	3.579255e-01
2.676000e+09	3.605425e-01
2.678000e+09	3.611430e-01
2.680000e+09	3.634819e-01
2.682000e+09	3.639749e-01
2.684000e+09	3.661368e-01
2.686000e+09	3.664529e-01
2.688000e+09	3.685389e-01
2.690000e+09	3.687538e-01
2.692000e+09	3.707070e-01
2.694000e+09	3.707892e-01
2.696000e+09	3.725971e-01
2.698000e+09	3.725845e-01
2.700000e+09	3.743987e-01
2.702000e+09	3.743038e-01
2.704000e+09	3.760485e-01
2.706000e+09	3.759031e-01
2.708000e+09	3.775593e-01
2.710000e+09	3.772242e-01
2.712000e+09	3.788994e-01
2.714000e+09	3.786149e-01
2.716000e+09	3.802458e-01
2.718000e+09	3.798855e-01
2.720000e+09	3.813899e-01
2.722000e+09	3.810612e-01
2.724000e+09	3.825278e-01
2.726000e+09	3.821422e-01
2.728000e+09	3.835328e-01
2.730000e+09	3.831409e-01
2.732000e+09	3.845506e-01
2.734000e+09	3.840385e-01
2.736000e+09	3.854861e-01
2.738000e+09	3.849741e-01
2.740000e+09	3.863268e-01
2.742000e+09	3.857895e-01
2.744000e+09	3.871170e-01
2.746000e+09	3.865986e-01
2.748000e+09	3.879071e-01
2.750000e+09	3.873129e-01
2.752000e+09	3.887479e-01
2.754000e+09	3.880588e-01
2.756000e+09	3.894053e-01
2.758000e+09	3.887289e-01
2.760000e+09	3.900753e-01
2.762000e+09	3.893989e-01
2.764000e+09	3.906632e-01
2.766000e+09	3.900500e-01
2.768000e+09	3.913269e-01
2.770000e+09	3.905873e-01
2.772000e+09	3.918453e-01
2.774000e+09	3.911246e-01
2.776000e+09	3.924268e-01
2.778000e+09	3.916999e-01
2.780000e+09	3.929704e-01
2.782000e+09	3.921929e-01
2.784000e+09	3.934635e-01
2.786000e+09	3.926481e-01
2.788000e+09	3.939945e-01
2.790000e+09	3.931980e-01
2.792000e+09	3.943990e-01
2.794000e+09	3.936405e-01
2.796000e+09	3.948795e-01
2.798000e+09	3.940703e-01
2.800000e+09	3.951955e-01
2.802000e+09	3.945065e-01
2.804000e+09	3.957139e-01
2.806000e+09	3.949363e-01
2.808000e+09	3.961627e-01
2.810000e+09	3.952145e-01
2.812000e+09	3.964029e-01
2.814000e+09	3.956254e-01
2.816000e+09	3.968896e-01
2.818000e+09	3.959604e-01
2.820000e+09	3.972878e-01
2.822000e+09	3.963207e-01
2.824000e+09	3.975091e-01
2.826000e+09	3.966368e-01
2.828000e+09	3.978441e-01
2.830000e+09	3.969718e-01
2.832000e+09	3.981412e-01
2.834000e+09	3.973195e-01
2.836000e+09	3.985711e-01
2.838000e+09	3.975913e-01
2.840000e+09	3.987544e-01
2.842000e+09	3.978820e-01
2.844000e+09	3.990641e-01
2.846000e+09	3.981349e-01
2.848000e+09	3.993233e-01
2.850000e+09	3.984194e-01
2.852000e+09	3.996899e-01
2.854000e+09	3.987670e-01
2.856000e+09	3.999364e-01
2.858000e+09	3.989883e-01
2.860000e+09	4.002019e-01
2.862000e+09	3.992032e-01
2.864000e+09	4.004295e-01
2.866000e+09	3.994560e-01
2.868000e+09	4.005875e-01
2.870000e+09	3.997152e-01
2.872000e+09	4.008657e-01
2.874000e+09	3.999112e-01
2.876000e+09	4.010427e-01
2.878000e+09	4.001198e-01
2.880000e+09	4.013271e-01
2.882000e+09	4.003347e-01
2.884000e+09	4.015294e-01
2.886000e+09	4.005243e-01
2.888000e+09	4.017506e-01
2.890000e+09	4.007392e-01
2.892000e+09	4.019782e-01
2.894000e+09	4.009605e-01
2.896000e+09	4.021046e-01
2.898000e+09	4.011564e-01
2.900000e+09	4.023385e-01
2.902000e+09	4.013524e-01
2.904000e+09	4.024839e-01
2.906000e+09	4.015610e-01
2.908000e+09	4.026799e-01
2.910000e+09	4.016938e-01
2.912000e+09	4.028063e-01
2.914000e+09	4.019276e-01
2.916000e+09	4.029643e-01
2.918000e+09	4.021046e-01
2.920000e+09	4.031476e-01
2.922000e+09	4.022247e-01
2.924000e+09	4.033752e-01
2.926000e+09	4.023764e-01
2.928000e+09	4.035269e-01
2.930000e+09	4.025534e-01
2.932000e+09	4.037039e-01
2.934000e+09	4.026988e-01
2.936000e+09	4.037608e-01
2.938000e+09	4.027936e-01
2.940000e+09	4.039947e-01
2.942000e+09	4.031097e-01
2.944000e+09	4.041274e-01
2.946000e+09	4.032172e-01
2.948000e+09	4.042222e-01
2.950000e+09	4.032677e-01
2.952000e+09	4.044182e-01
2.954000e+09	4.035079e-01
2.956000e+09	4.045320e-01
2.958000e+09	4.036849e-01
2.960000e+09	4.046647e-01
2.962000e+09	4.037418e-01
2.964000e+09	4.046963e-01
2.966000e+09	4.038872e-01
2.968000e+09	4.049365e-01
2.970000e+09	4.039757e-01
2.972000e+09	4.050503e-01
2.974000e+09	4.041527e-01
2.976000e+09	4.051831e-01
2.978000e+09	4.042412e-01
2.980000e+09	4.052589e-01
2.982000e+09	4.043234e-01
2.984000e+09	4.053854e-01
2.986000e+09	4.044625e-01
2.988000e+09	4.054865e-01
2.990000e+09	4.046584e-01
2.992000e+09	4.055876e-01
2.994000e+09	4.047659e-01
2.996000e+09	4.056508e-01
2.998000e+09	4.049239e-01
3.000000e+09	4.058658e-01
3.002000e+09	4.049302e-01
3.004000e+09	4.059479e-01
3.006000e+09	4.051325e-01
3.008000e+09	4.060048e-01
3.010000e+09	4.051894e-01
3.012000e+09	4.061502e-01
3.014000e+09	4.052905e-01
3.016000e+09	4.062577e-01
3.018000e+09	4.053601e-01
3.020000e+09	4.063083e-01
3.022000e+09	4.055434e-01
3.024000e+09	4.064031e-01
3.026000e+09	4.056066e-01
3.028000e+09	4.065611e-01
3.030000e+09	4.057457e-01
3.032000e+09	4.065990e-01
3.034000e+09	4.058152e-01
3.036000e+09	4.066496e-01
3.038000e+09	4.057899e-01
3.040000e+09	4.067065e-01
3.042000e+09	4.059859e-01
3.044000e+09	4.068329e-01
3.046000e+09	4.060428e-01
3.048000e+09	4.069404e-01
3.050000e+09	4.061692e-01
3.052000e+09	4.070036e-01
3.054000e+09	4.062766e-01
3.056000e+09	4.070542e-01
3.058000e+09	4.063399e-01
3.060000e+09	4.071616e-01
3.062000e+09	4.064094e-01
3.064000e+09	4.072375e-01
3.066000e+09	4.065105e-01
3.068000e+09	4.073386e-01
3.070000e+09	4.065927e-01
3.072000e+09	4.075156e-01
3.074000e+09	4.066875e-01
3.076000e+09	4.075599e-01
3.078000e+09	4.067191e-01
3.080000e+09	4.076104e-01
3.082000e+09	4.067255e-01
3.084000e+09	4.076231e-01
3.086000e+09	4.068772e-01
3.088000e+09	4.076484e-01
3.090000e+09	4.070289e-01
