#Saved Data from the class odmr_logic on 15.07.2022 at 15h23m13s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -1.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 3.0000000000000000e+02
#Number of frequency sweeps (#): 48
#Start Frequency (Hz): 2.7500000000000000e+09
#Stop Frequency (Hz): 2.9900000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.750000e+09	2.811787e+06
2.752000e+09	2.813136e+06
2.754000e+09	2.815624e+06
2.756000e+09	2.816466e+06
2.758000e+09	2.817055e+06
2.760000e+09	2.817529e+06
2.762000e+09	2.816721e+06
2.764000e+09	2.817384e+06
2.766000e+09	2.817995e+06
2.768000e+09	2.817615e+06
2.770000e+09	2.817236e+06
2.772000e+09	2.817540e+06
2.774000e+09	2.819180e+06
2.776000e+09	2.818667e+06
2.778000e+09	2.816306e+06
2.780000e+09	2.816658e+06
2.782000e+09	2.817707e+06
2.784000e+09	2.816873e+06
2.786000e+09	2.817945e+06
2.788000e+09	2.817281e+06
2.790000e+09	2.817260e+06
2.792000e+09	2.818578e+06
2.794000e+09	2.818278e+06
2.796000e+09	2.816711e+06
2.798000e+09	2.818340e+06
2.800000e+09	2.817558e+06
2.802000e+09	2.818646e+06
2.804000e+09	2.818296e+06
2.806000e+09	2.817163e+06
2.808000e+09	2.818789e+06
2.810000e+09	2.817898e+06
2.812000e+09	2.818077e+06
2.814000e+09	2.816295e+06
2.816000e+09	2.816363e+06
2.818000e+09	2.817385e+06
2.820000e+09	2.816321e+06
2.822000e+09	2.816061e+06
2.824000e+09	2.816397e+06
2.826000e+09	2.814008e+06
2.828000e+09	2.812655e+06
2.830000e+09	2.805266e+06
2.832000e+09	2.799761e+06
2.834000e+09	2.801263e+06
2.836000e+09	2.803296e+06
2.838000e+09	2.809332e+06
2.840000e+09	2.809390e+06
2.842000e+09	2.801869e+06
2.844000e+09	2.803942e+06
2.846000e+09	2.802724e+06
2.848000e+09	2.814182e+06
2.850000e+09	2.814977e+06
2.852000e+09	2.815441e+06
2.854000e+09	2.817110e+06
2.856000e+09	2.816084e+06
2.858000e+09	2.817528e+06
2.860000e+09	2.815869e+06
2.862000e+09	2.819047e+06
2.864000e+09	2.817489e+06
2.866000e+09	2.816963e+06
2.868000e+09	2.815592e+06
2.870000e+09	2.815737e+06
2.872000e+09	2.816959e+06
2.874000e+09	2.816228e+06
2.876000e+09	2.816494e+06
2.878000e+09	2.817956e+06
2.880000e+09	2.818358e+06
2.882000e+09	2.818603e+06
2.884000e+09	2.818520e+06
2.886000e+09	2.817205e+06
2.888000e+09	2.816782e+06
2.890000e+09	2.819709e+06
2.892000e+09	2.817397e+06
2.894000e+09	2.817423e+06
2.896000e+09	2.816886e+06
2.898000e+09	2.816638e+06
2.900000e+09	2.817591e+06
2.902000e+09	2.816194e+06
2.904000e+09	2.814752e+06
2.906000e+09	2.812901e+06
2.908000e+09	2.806860e+06
2.910000e+09	2.806760e+06
2.912000e+09	2.805031e+06
2.914000e+09	2.810366e+06
2.916000e+09	2.809600e+06
2.918000e+09	2.804959e+06
2.920000e+09	2.801583e+06
2.922000e+09	2.803533e+06
2.924000e+09	2.808331e+06
2.926000e+09	2.811869e+06
2.928000e+09	2.815042e+06
2.930000e+09	2.815157e+06
2.932000e+09	2.816740e+06
2.934000e+09	2.817380e+06
2.936000e+09	2.817879e+06
2.938000e+09	2.816675e+06
2.940000e+09	2.816067e+06
2.942000e+09	2.818378e+06
2.944000e+09	2.819352e+06
2.946000e+09	2.817780e+06
2.948000e+09	2.816759e+06
2.950000e+09	2.817640e+06
2.952000e+09	2.818594e+06
2.954000e+09	2.816828e+06
2.956000e+09	2.818139e+06
2.958000e+09	2.817306e+06
2.960000e+09	2.818379e+06
2.962000e+09	2.818344e+06
2.964000e+09	2.819331e+06
2.966000e+09	2.817382e+06
2.968000e+09	2.818122e+06
2.970000e+09	2.816819e+06
2.972000e+09	2.815871e+06
2.974000e+09	2.817382e+06
2.976000e+09	2.815527e+06
2.978000e+09	2.815620e+06
2.980000e+09	2.817901e+06
2.982000e+09	2.818685e+06
2.984000e+09	2.816626e+06
2.986000e+09	2.815894e+06
2.988000e+09	2.813531e+06
2.990000e+09	2.814312e+06
