#Saved Data from the class odmr_logic on 15.07.2022 at 16h08m28s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -1.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 6.0000000000000000e+02
#Number of frequency sweeps (#): 96
#Start Frequency (Hz): 2.7500000000000000e+09
#Stop Frequency (Hz): 2.9900000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.750000e+09	1.971824e-01
2.752000e+09	2.039502e-01
2.754000e+09	2.095797e-01
2.756000e+09	2.128702e-01
2.758000e+09	2.168597e-01
2.760000e+09	2.189841e-01
2.762000e+09	2.222089e-01
2.764000e+09	2.237313e-01
2.766000e+09	2.263748e-01
2.768000e+09	2.275201e-01
2.770000e+09	2.298625e-01
2.772000e+09	2.306306e-01
2.774000e+09	2.327240e-01
2.776000e+09	2.333537e-01
2.778000e+09	2.352567e-01
2.780000e+09	2.357065e-01
2.782000e+09	2.373881e-01
2.784000e+09	2.376995e-01
2.786000e+09	2.393361e-01
2.788000e+09	2.394780e-01
2.790000e+09	2.409969e-01
2.792000e+09	2.410834e-01
2.794000e+09	2.425401e-01
2.796000e+09	2.425021e-01
2.798000e+09	2.438688e-01
2.800000e+09	2.438099e-01
2.802000e+09	2.451005e-01
2.804000e+09	2.449621e-01
2.806000e+09	2.462493e-01
2.808000e+09	2.460175e-01
2.810000e+09	2.472769e-01
2.812000e+09	2.470036e-01
2.814000e+09	2.482665e-01
2.816000e+09	2.479585e-01
2.818000e+09	2.491488e-01
2.820000e+09	2.487509e-01
2.822000e+09	2.499411e-01
2.824000e+09	2.495086e-01
2.826000e+09	2.506989e-01
2.828000e+09	2.502422e-01
2.830000e+09	2.514047e-01
2.832000e+09	2.509030e-01
2.834000e+09	2.520795e-01
2.836000e+09	2.515051e-01
2.838000e+09	2.526504e-01
2.840000e+09	2.521141e-01
2.842000e+09	2.532836e-01
2.844000e+09	2.527334e-01
2.846000e+09	2.537991e-01
2.848000e+09	2.532697e-01
2.850000e+09	2.543527e-01
2.852000e+09	2.536434e-01
2.854000e+09	2.548094e-01
2.856000e+09	2.541278e-01
2.858000e+09	2.553042e-01
2.860000e+09	2.546330e-01
2.862000e+09	2.557056e-01
2.864000e+09	2.550343e-01
2.866000e+09	2.561173e-01
2.868000e+09	2.554080e-01
2.870000e+09	2.564737e-01
2.872000e+09	2.557679e-01
2.874000e+09	2.568578e-01
2.876000e+09	2.561208e-01
2.878000e+09	2.571692e-01
2.880000e+09	2.564495e-01
2.882000e+09	2.575982e-01
2.884000e+09	2.567367e-01
2.886000e+09	2.578958e-01
2.888000e+09	2.571034e-01
2.890000e+09	2.582556e-01
2.892000e+09	2.574183e-01
2.894000e+09	2.585048e-01
2.896000e+09	2.576640e-01
2.898000e+09	2.587643e-01
2.900000e+09	2.578993e-01
2.902000e+09	2.590687e-01
2.904000e+09	2.582141e-01
2.906000e+09	2.593317e-01
2.908000e+09	2.585048e-01
2.910000e+09	2.595739e-01
2.912000e+09	2.586535e-01
2.914000e+09	2.598127e-01
2.916000e+09	2.589200e-01
2.918000e+09	2.600756e-01
2.920000e+09	2.591518e-01
2.922000e+09	2.602348e-01
2.924000e+09	2.593040e-01
2.926000e+09	2.604977e-01
2.928000e+09	2.595566e-01
2.930000e+09	2.607123e-01
2.932000e+09	2.596985e-01
2.934000e+09	2.608472e-01
2.936000e+09	2.598957e-01
2.938000e+09	2.611344e-01
2.940000e+09	2.600895e-01
2.942000e+09	2.612244e-01
2.944000e+09	2.602486e-01
2.946000e+09	2.614527e-01
2.948000e+09	2.603939e-01
2.950000e+09	2.616050e-01
2.952000e+09	2.605600e-01
2.954000e+09	2.618056e-01
2.956000e+09	2.607676e-01
2.958000e+09	2.619510e-01
2.960000e+09	2.609233e-01
2.962000e+09	2.621759e-01
2.964000e+09	2.610341e-01
2.966000e+09	2.622728e-01
2.968000e+09	2.612001e-01
2.970000e+09	2.624008e-01
2.972000e+09	2.613005e-01
2.974000e+09	2.625496e-01
2.976000e+09	2.614458e-01
2.978000e+09	2.627226e-01
2.980000e+09	2.616223e-01
2.982000e+09	2.628610e-01
2.984000e+09	2.617261e-01
2.986000e+09	2.629959e-01
2.988000e+09	2.618229e-01
2.990000e+09	2.631066e-01
