#Saved Data from the class odmr_logic on 21.07.2022 at 16h57m07s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): -1.5000000000000000e+01
#Run Time (s): 2.4000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.7000000000000000e+09
#Stop Frequency (Hz): 3.0000000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.700000e+09	3.816997e-01
2.702000e+09	3.860386e-01
2.704000e+09	3.896215e-01
2.706000e+09	3.928428e-01
2.708000e+09	3.952423e-01
2.710000e+09	3.976418e-01
2.712000e+09	3.999428e-01
2.714000e+09	4.019150e-01
2.716000e+09	4.040844e-01
2.718000e+09	4.057937e-01
2.720000e+09	4.075030e-01
2.722000e+09	4.091794e-01
2.724000e+09	4.106257e-01
2.726000e+09	4.123678e-01
2.728000e+09	4.137483e-01
2.730000e+09	4.150960e-01
2.732000e+09	4.166081e-01
2.734000e+09	4.178243e-01
2.736000e+09	4.191391e-01
2.738000e+09	4.204539e-01
2.740000e+09	4.216701e-01
2.742000e+09	4.227548e-01
2.744000e+09	4.239382e-01
2.746000e+09	4.251873e-01
2.748000e+09	4.261405e-01
2.750000e+09	4.271924e-01
2.752000e+09	4.283100e-01
2.754000e+09	4.292632e-01
2.756000e+09	4.303150e-01
2.758000e+09	4.312025e-01
2.760000e+09	4.323859e-01
2.762000e+09	4.332076e-01
2.764000e+09	4.340951e-01
2.766000e+09	4.346211e-01
2.768000e+09	4.357715e-01
2.770000e+09	4.367577e-01
2.772000e+09	4.376123e-01
2.774000e+09	4.384340e-01
2.776000e+09	4.391243e-01
2.778000e+09	4.399132e-01
2.780000e+09	4.409979e-01
2.782000e+09	4.413924e-01
2.784000e+09	4.423785e-01
2.786000e+09	4.431345e-01
2.788000e+09	4.438577e-01
2.790000e+09	4.446137e-01
2.792000e+09	4.453040e-01
2.794000e+09	4.459285e-01
2.796000e+09	4.466188e-01
2.798000e+09	4.473419e-01
2.800000e+09	4.480979e-01
2.802000e+09	4.488868e-01
2.804000e+09	4.492484e-01
2.806000e+09	4.500044e-01
2.808000e+09	4.507276e-01
2.810000e+09	4.513521e-01
2.812000e+09	4.519109e-01
2.814000e+09	4.526341e-01
2.816000e+09	4.532586e-01
2.818000e+09	4.538174e-01
2.820000e+09	4.545077e-01
2.822000e+09	4.548364e-01
2.824000e+09	4.553294e-01
2.826000e+09	4.560526e-01
2.828000e+09	4.566771e-01
2.830000e+09	4.571373e-01
2.832000e+09	4.577619e-01
2.834000e+09	4.584850e-01
2.836000e+09	4.588466e-01
2.838000e+09	4.594711e-01
2.840000e+09	4.599313e-01
2.842000e+09	4.603915e-01
2.844000e+09	4.610818e-01
2.846000e+09	4.614105e-01
2.848000e+09	4.620679e-01
2.850000e+09	4.624952e-01
2.852000e+09	4.630211e-01
2.854000e+09	4.634813e-01
2.856000e+09	4.638429e-01
2.858000e+09	4.643031e-01
2.860000e+09	4.648290e-01
2.862000e+09	4.653221e-01
2.864000e+09	4.656179e-01
2.866000e+09	4.662753e-01
2.868000e+09	4.666697e-01
2.870000e+09	4.671299e-01
2.872000e+09	4.676230e-01
2.874000e+09	4.681489e-01
2.876000e+09	4.686091e-01
2.878000e+09	4.690035e-01
2.880000e+09	4.692994e-01
2.882000e+09	4.698910e-01
2.884000e+09	4.702198e-01
2.886000e+09	4.705813e-01
2.888000e+09	4.710415e-01
2.890000e+09	4.715017e-01
2.892000e+09	4.716989e-01
2.894000e+09	4.723235e-01
2.896000e+09	4.724878e-01
2.898000e+09	4.727836e-01
2.900000e+09	4.733096e-01
2.902000e+09	4.738355e-01
2.904000e+09	4.742299e-01
2.906000e+09	4.743614e-01
2.908000e+09	4.748545e-01
2.910000e+09	4.752161e-01
2.912000e+09	4.757091e-01
2.914000e+09	4.760707e-01
2.916000e+09	4.764651e-01
2.918000e+09	4.765637e-01
2.920000e+09	4.771554e-01
2.922000e+09	4.775170e-01
2.924000e+09	4.778457e-01
2.926000e+09	4.782401e-01
2.928000e+09	4.783716e-01
2.930000e+09	4.787661e-01
2.932000e+09	4.790619e-01
2.934000e+09	4.793906e-01
2.936000e+09	4.797522e-01
2.938000e+09	4.801466e-01
2.940000e+09	4.807054e-01
2.942000e+09	4.809355e-01
2.944000e+09	4.811985e-01
2.946000e+09	4.814943e-01
2.948000e+09	4.819874e-01
2.950000e+09	4.823161e-01
2.952000e+09	4.825462e-01
2.954000e+09	4.829077e-01
2.956000e+09	4.830392e-01
2.958000e+09	4.835651e-01
2.960000e+09	4.837295e-01
2.962000e+09	4.839267e-01
2.964000e+09	4.841568e-01
2.966000e+09	4.846827e-01
2.968000e+09	4.851101e-01
2.970000e+09	4.854059e-01
2.972000e+09	4.853730e-01
2.974000e+09	4.858003e-01
2.976000e+09	4.861619e-01
2.978000e+09	4.865564e-01
2.980000e+09	4.866878e-01
2.982000e+09	4.870494e-01
2.984000e+09	4.872795e-01
2.986000e+09	4.876082e-01
2.988000e+09	4.878712e-01
2.990000e+09	4.881341e-01
2.992000e+09	4.884300e-01
2.994000e+09	4.886929e-01
2.996000e+09	4.891531e-01
2.998000e+09	4.891860e-01
3.000000e+09	4.896133e-01
