#Saved Data from the class odmr_logic on 21.07.2022 at 17h10m39s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): -5.0000000000000000e+00
#Run Time (s): 2.4000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.7000000000000000e+09
#Stop Frequency (Hz): 3.0000000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.700000e+09	3.310540e+06
2.702000e+09	3.309090e+06
2.704000e+09	3.314795e+06
2.706000e+09	3.313790e+06
2.708000e+09	3.317515e+06
2.710000e+09	3.308940e+06
2.712000e+09	3.309945e+06
2.714000e+09	3.316235e+06
2.716000e+09	3.320660e+06
2.718000e+09	3.314090e+06
2.720000e+09	3.310655e+06
2.722000e+09	3.312875e+06
2.724000e+09	3.310040e+06
2.726000e+09	3.317395e+06
2.728000e+09	3.322115e+06
2.730000e+09	3.311170e+06
2.732000e+09	3.316445e+06
2.734000e+09	3.312740e+06
2.736000e+09	3.316315e+06
2.738000e+09	3.311215e+06
2.740000e+09	3.311900e+06
2.742000e+09	3.311835e+06
2.744000e+09	3.310885e+06
2.746000e+09	3.316730e+06
2.748000e+09	3.313875e+06
2.750000e+09	3.310265e+06
2.752000e+09	3.311985e+06
2.754000e+09	3.311890e+06
2.756000e+09	3.313620e+06
2.758000e+09	3.311370e+06
2.760000e+09	3.319095e+06
2.762000e+09	3.313745e+06
2.764000e+09	3.317560e+06
2.766000e+09	3.310935e+06
2.768000e+09	3.317085e+06
2.770000e+09	3.312180e+06
2.772000e+09	3.318875e+06
2.774000e+09	3.314470e+06
2.776000e+09	3.313995e+06
2.778000e+09	3.312750e+06
2.780000e+09	3.311395e+06
2.782000e+09	3.305985e+06
2.784000e+09	3.317045e+06
2.786000e+09	3.309715e+06
2.788000e+09	3.307970e+06
2.790000e+09	3.313570e+06
2.792000e+09	3.316955e+06
2.794000e+09	3.315665e+06
2.796000e+09	3.312420e+06
2.798000e+09	3.316385e+06
2.800000e+09	3.311210e+06
2.802000e+09	3.310870e+06
2.804000e+09	3.318120e+06
2.806000e+09	3.312645e+06
2.808000e+09	3.310050e+06
2.810000e+09	3.313670e+06
2.812000e+09	3.308900e+06
2.814000e+09	3.314525e+06
2.816000e+09	3.305500e+06
2.818000e+09	3.307700e+06
2.820000e+09	3.307540e+06
2.822000e+09	3.309185e+06
2.824000e+09	3.312620e+06
2.826000e+09	3.317015e+06
2.828000e+09	3.311975e+06
2.830000e+09	3.312460e+06
2.832000e+09	3.308855e+06
2.834000e+09	3.321340e+06
2.836000e+09	3.315415e+06
2.838000e+09	3.313265e+06
2.840000e+09	3.313435e+06
2.842000e+09	3.311435e+06
2.844000e+09	3.318570e+06
2.846000e+09	3.310250e+06
2.848000e+09	3.307775e+06
2.850000e+09	3.310070e+06
2.852000e+09	3.314580e+06
2.854000e+09	3.315890e+06
2.856000e+09	3.309635e+06
2.858000e+09	3.311865e+06
2.860000e+09	3.306540e+06
2.862000e+09	3.300430e+06
2.864000e+09	3.287075e+06
2.866000e+09	3.278440e+06
2.868000e+09	3.289920e+06
2.870000e+09	3.310980e+06
2.872000e+09	3.295680e+06
2.874000e+09	3.291190e+06
2.876000e+09	3.284635e+06
2.878000e+09	3.295285e+06
2.880000e+09	3.305150e+06
2.882000e+09	3.306020e+06
2.884000e+09	3.307530e+06
2.886000e+09	3.313690e+06
2.888000e+09	3.313350e+06
2.890000e+09	3.315880e+06
2.892000e+09	3.315445e+06
2.894000e+09	3.315225e+06
2.896000e+09	3.313885e+06
2.898000e+09	3.317915e+06
2.900000e+09	3.309210e+06
2.902000e+09	3.320040e+06
2.904000e+09	3.311115e+06
2.906000e+09	3.311140e+06
2.908000e+09	3.312915e+06
2.910000e+09	3.315215e+06
2.912000e+09	3.315140e+06
2.914000e+09	3.311525e+06
2.916000e+09	3.314175e+06
2.918000e+09	3.316135e+06
2.920000e+09	3.314875e+06
2.922000e+09	3.314455e+06
2.924000e+09	3.311665e+06
2.926000e+09	3.314255e+06
2.928000e+09	3.314120e+06
2.930000e+09	3.314320e+06
2.932000e+09	3.315310e+06
2.934000e+09	3.313470e+06
2.936000e+09	3.311050e+06
2.938000e+09	3.311295e+06
2.940000e+09	3.314060e+06
2.942000e+09	3.317805e+06
2.944000e+09	3.311285e+06
2.946000e+09	3.315380e+06
2.948000e+09	3.312160e+06
2.950000e+09	3.318875e+06
2.952000e+09	3.316960e+06
2.954000e+09	3.317195e+06
2.956000e+09	3.314895e+06
2.958000e+09	3.309305e+06
2.960000e+09	3.317040e+06
2.962000e+09	3.312610e+06
2.964000e+09	3.310705e+06
2.966000e+09	3.318615e+06
2.968000e+09	3.311670e+06
2.970000e+09	3.318250e+06
2.972000e+09	3.318545e+06
2.974000e+09	3.312050e+06
2.976000e+09	3.320465e+06
2.978000e+09	3.320195e+06
2.980000e+09	3.311520e+06
2.982000e+09	3.312485e+06
2.984000e+09	3.311145e+06
2.986000e+09	3.309495e+06
2.988000e+09	3.317560e+06
2.990000e+09	3.313800e+06
2.992000e+09	3.315585e+06
2.994000e+09	3.312065e+06
2.996000e+09	3.314590e+06
2.998000e+09	3.311460e+06
3.000000e+09	3.316650e+06
