#Saved Data from the class odmr_logic on 21.07.2022 at 17h48m28s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): 0.0000000000000000e+00
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 2.4000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.7000000000000000e+09
#Stop Frequency (Hz): 3.0000000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.700000e+09	3.938617e-01
2.702000e+09	3.982992e-01
2.704000e+09	4.019479e-01
2.706000e+09	4.049391e-01
2.708000e+09	4.077002e-01
2.710000e+09	4.101983e-01
2.712000e+09	4.123678e-01
2.714000e+09	4.144715e-01
2.716000e+09	4.165095e-01
2.718000e+09	4.182845e-01
2.720000e+09	4.200595e-01
2.722000e+09	4.217687e-01
2.724000e+09	4.233136e-01
2.726000e+09	4.249900e-01
2.728000e+09	4.263377e-01
2.730000e+09	4.278498e-01
2.732000e+09	4.291646e-01
2.734000e+09	4.308081e-01
2.736000e+09	4.318928e-01
2.738000e+09	4.333391e-01
2.740000e+09	4.344567e-01
2.742000e+09	4.356729e-01
2.744000e+09	4.366919e-01
2.746000e+09	4.380067e-01
2.748000e+09	4.389600e-01
2.750000e+09	4.401433e-01
2.752000e+09	4.411623e-01
2.754000e+09	4.424114e-01
2.756000e+09	4.432003e-01
2.758000e+09	4.442850e-01
2.760000e+09	4.453040e-01
2.762000e+09	4.462572e-01
2.764000e+09	4.470790e-01
2.766000e+09	4.480979e-01
2.768000e+09	4.488868e-01
2.770000e+09	4.497743e-01
2.772000e+09	4.506290e-01
2.774000e+09	4.515493e-01
2.776000e+09	4.524040e-01
2.778000e+09	4.533243e-01
2.780000e+09	4.537517e-01
2.782000e+09	4.547706e-01
2.784000e+09	4.556581e-01
2.786000e+09	4.563813e-01
2.788000e+09	4.570058e-01
2.790000e+09	4.576961e-01
2.792000e+09	4.584521e-01
2.794000e+09	4.593068e-01
2.796000e+09	4.599642e-01
2.798000e+09	4.606873e-01
2.800000e+09	4.613119e-01
2.802000e+09	4.621665e-01
2.804000e+09	4.626267e-01
2.806000e+09	4.634156e-01
2.808000e+09	4.639415e-01
2.810000e+09	4.648290e-01
2.812000e+09	4.654864e-01
2.814000e+09	4.660781e-01
2.816000e+09	4.666697e-01
2.818000e+09	4.671957e-01
2.820000e+09	4.678531e-01
2.822000e+09	4.682804e-01
2.824000e+09	4.688392e-01
2.826000e+09	4.695952e-01
2.828000e+09	4.700225e-01
2.830000e+09	4.705813e-01
2.832000e+09	4.713702e-01
2.834000e+09	4.718961e-01
2.836000e+09	4.723892e-01
2.838000e+09	4.729480e-01
2.840000e+09	4.734411e-01
2.842000e+09	4.741642e-01
2.844000e+09	4.745258e-01
2.846000e+09	4.751503e-01
2.848000e+09	4.757091e-01
2.850000e+09	4.758406e-01
2.852000e+09	4.764980e-01
2.854000e+09	4.769253e-01
2.856000e+09	4.775827e-01
2.858000e+09	4.781087e-01
2.860000e+09	4.783716e-01
2.862000e+09	4.789633e-01
2.864000e+09	4.793906e-01
2.866000e+09	4.798508e-01
2.868000e+09	4.803438e-01
2.870000e+09	4.809684e-01
2.872000e+09	4.813628e-01
2.874000e+09	4.815272e-01
2.876000e+09	4.821846e-01
2.878000e+09	4.827105e-01
2.880000e+09	4.830721e-01
2.882000e+09	4.834665e-01
2.884000e+09	4.836638e-01
2.886000e+09	4.842883e-01
2.888000e+09	4.846170e-01
2.890000e+09	4.850772e-01
2.892000e+09	4.854388e-01
2.894000e+09	4.859976e-01
2.896000e+09	4.863263e-01
2.898000e+09	4.867207e-01
2.900000e+09	4.872795e-01
2.902000e+09	4.875096e-01
2.904000e+09	4.878712e-01
2.906000e+09	4.884957e-01
2.908000e+09	4.886929e-01
2.910000e+09	4.891531e-01
2.912000e+09	4.894490e-01
2.914000e+09	4.899420e-01
2.916000e+09	4.902050e-01
2.918000e+09	4.905337e-01
2.920000e+09	4.908624e-01
2.922000e+09	4.912897e-01
2.924000e+09	4.917170e-01
2.926000e+09	4.920786e-01
2.928000e+09	4.924073e-01
2.930000e+09	4.928675e-01
2.932000e+09	4.930976e-01
2.934000e+09	4.933605e-01
2.936000e+09	4.937878e-01
2.938000e+09	4.940179e-01
2.940000e+09	4.943466e-01
2.942000e+09	4.947411e-01
2.944000e+09	4.951027e-01
2.946000e+09	4.954314e-01
2.948000e+09	4.956286e-01
2.950000e+09	4.960230e-01
2.952000e+09	4.964504e-01
2.954000e+09	4.966804e-01
2.956000e+09	4.970749e-01
2.958000e+09	4.973050e-01
2.960000e+09	4.976008e-01
2.962000e+09	4.980281e-01
2.964000e+09	4.983240e-01
2.966000e+09	4.986527e-01
2.968000e+09	4.989156e-01
2.970000e+09	4.993101e-01
2.972000e+09	4.994416e-01
2.974000e+09	4.996717e-01
2.976000e+09	5.001318e-01
2.978000e+09	5.002633e-01
2.980000e+09	5.008550e-01
2.982000e+09	5.010193e-01
2.984000e+09	5.013152e-01
2.986000e+09	5.015124e-01
2.988000e+09	5.020055e-01
2.990000e+09	5.020383e-01
2.992000e+09	5.024328e-01
2.994000e+09	5.026957e-01
2.996000e+09	5.031231e-01
2.998000e+09	5.033860e-01
3.000000e+09	5.035175e-01
