file  B_0 B_0_err  B_xH B_zH 
20220728132515  0.8521017877502242  0.21281322321965354 0.91  0.38      
20220728130954  0.6715879095140724  0.1921828511795482 0.78  0.30
20220728125639  0.6001116802084356  0.18835027410635602 0.65  0.25
20220729093441  0.4559132912674291  0.16002691399451988 0.38  0.26
20220728135120  0.34281584300592327 0.18365531706585464 0.34  0.21
20220728133808  0.2255250097763506  0.18911339103596345 0.25  0.20
20220728122232  0.20723296384273743 0.18379498372344705 0.13  0.11
20220801111348  0.19336964793299177 0.09302417198431846 0.19  0.14
20220728091242  0.17958758607102196 0.10084803073915478 0.11  0.08
20220728112820  0.16872851557224258 0.11063062644444653 0.10  0.08
20220801103048  0.15930117775129046 0.10108499444418063 0.09  0.09
