#Saved Data from the class odmr_logic on 10.06.2022 at 15h32m50s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): -3.0000000000000000e+01
#Run Time (s): 60
#Number of frequency sweeps (#): 22
#Start Frequency (Hz): 2.8000000000000000e+09
#Stop Frequency (Hz): 2.9500000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.800000e+09	1.740981e+06
2.802000e+09	1.741343e+06
2.804000e+09	1.742362e+06
2.806000e+09	1.737600e+06
2.808000e+09	1.739848e+06
2.810000e+09	1.737457e+06
2.812000e+09	1.737924e+06
2.814000e+09	1.737352e+06
2.816000e+09	1.735048e+06
2.818000e+09	1.739333e+06
2.820000e+09	1.736667e+06
2.822000e+09	1.733724e+06
2.824000e+09	1.737143e+06
2.826000e+09	1.734705e+06
2.828000e+09	1.740286e+06
2.830000e+09	1.746143e+06
2.832000e+09	1.741810e+06
2.834000e+09	1.737352e+06
2.836000e+09	1.741362e+06
2.838000e+09	1.740410e+06
2.840000e+09	1.741010e+06
2.842000e+09	1.738514e+06
2.844000e+09	1.741505e+06
2.846000e+09	1.737743e+06
2.848000e+09	1.751962e+06
2.850000e+09	1.743524e+06
2.852000e+09	1.736848e+06
2.854000e+09	1.743705e+06
2.856000e+09	1.740267e+06
2.858000e+09	1.735924e+06
2.860000e+09	1.740410e+06
2.862000e+09	1.745695e+06
2.864000e+09	1.736467e+06
2.866000e+09	1.741638e+06
2.868000e+09	1.743019e+06
2.870000e+09	1.739476e+06
2.872000e+09	1.740267e+06
2.874000e+09	1.741219e+06
2.876000e+09	1.740410e+06
2.878000e+09	1.739381e+06
2.880000e+09	1.740324e+06
2.882000e+09	1.739324e+06
2.884000e+09	1.737667e+06
2.886000e+09	1.747981e+06
2.888000e+09	1.742724e+06
2.890000e+09	1.738657e+06
2.892000e+09	1.742276e+06
2.894000e+09	1.733552e+06
2.896000e+09	1.741543e+06
2.898000e+09	1.739019e+06
2.900000e+09	1.735600e+06
2.902000e+09	1.741971e+06
2.904000e+09	1.740724e+06
2.906000e+09	1.741362e+06
2.908000e+09	1.731362e+06
2.910000e+09	1.729733e+06
2.912000e+09	1.737848e+06
2.914000e+09	1.736467e+06
2.916000e+09	1.741019e+06
2.918000e+09	1.734667e+06
2.920000e+09	1.737229e+06
2.922000e+09	1.734400e+06
2.924000e+09	1.737752e+06
2.926000e+09	1.736343e+06
2.928000e+09	1.742771e+06
2.930000e+09	1.743876e+06
2.932000e+09	1.745638e+06
2.934000e+09	1.744162e+06
2.936000e+09	1.743533e+06
2.938000e+09	1.741467e+06
2.940000e+09	1.744276e+06
2.942000e+09	1.740448e+06
2.944000e+09	1.742514e+06
2.946000e+09	1.735505e+06
2.948000e+09	1.743924e+06
2.950000e+09	1.737410e+06
