#Saved Data from the class odmr_logic on 10.06.2022 at 15h32m50s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): -3.0000000000000000e+01
#Run Time (s): 60
#Number of frequency sweeps (#): 22
#Start Frequency (Hz): 2.8000000000000000e+09
#Stop Frequency (Hz): 2.9500000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.800000e+09	4.721716e-01
2.802000e+09	4.737369e-01
2.804000e+09	4.753178e-01
2.806000e+09	4.766639e-01
2.808000e+09	4.780570e-01
2.810000e+09	4.792779e-01
2.812000e+09	4.806397e-01
2.814000e+09	4.819232e-01
2.816000e+09	4.829876e-01
2.818000e+09	4.841615e-01
2.820000e+09	4.854294e-01
2.822000e+09	4.865564e-01
2.824000e+09	4.875112e-01
2.826000e+09	4.886225e-01
2.828000e+09	4.898590e-01
2.830000e+09	4.907043e-01
2.832000e+09	4.916591e-01
2.834000e+09	4.928174e-01
2.836000e+09	4.936939e-01
2.838000e+09	4.947270e-01
2.840000e+09	4.955566e-01
2.842000e+09	4.966523e-01
2.844000e+09	4.975445e-01
2.846000e+09	4.985149e-01
2.848000e+09	4.993602e-01
2.850000e+09	5.002993e-01
2.852000e+09	5.012385e-01
2.854000e+09	5.022402e-01
2.856000e+09	5.029603e-01
2.858000e+09	5.039777e-01
2.860000e+09	5.048699e-01
2.862000e+09	5.056525e-01
2.864000e+09	5.063099e-01
2.866000e+09	5.073117e-01
2.868000e+09	5.082821e-01
2.870000e+09	5.091274e-01
2.872000e+09	5.097065e-01
2.874000e+09	5.107709e-01
2.876000e+09	5.116161e-01
2.878000e+09	5.123205e-01
2.880000e+09	5.130405e-01
2.882000e+09	5.138858e-01
2.884000e+09	5.148875e-01
2.886000e+09	5.155136e-01
2.888000e+09	5.163432e-01
2.890000e+09	5.171885e-01
2.892000e+09	5.181433e-01
2.894000e+09	5.187537e-01
2.896000e+09	5.194268e-01
2.898000e+09	5.203503e-01
2.900000e+09	5.211016e-01
2.902000e+09	5.218686e-01
2.904000e+09	5.225103e-01
2.906000e+09	5.233556e-01
2.908000e+09	5.241695e-01
2.910000e+09	5.248269e-01
2.912000e+09	5.254843e-01
2.914000e+09	5.263452e-01
2.916000e+09	5.271279e-01
2.918000e+09	5.278322e-01
2.920000e+09	5.284427e-01
2.922000e+09	5.292253e-01
2.924000e+09	5.300236e-01
2.926000e+09	5.307280e-01
2.928000e+09	5.313854e-01
2.930000e+09	5.321993e-01
2.932000e+09	5.330289e-01
2.934000e+09	5.334672e-01
2.936000e+09	5.342967e-01
2.938000e+09	5.348446e-01
2.940000e+09	5.356898e-01
2.942000e+09	5.364881e-01
2.944000e+09	5.369733e-01
2.946000e+09	5.378499e-01
2.948000e+09	5.385542e-01
2.950000e+09	5.389299e-01
