#Saved Data from the class odmr_logic on 15.07.2022 at 13h44m30s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -1.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 3.0000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.8000000000000000e+09
#Stop Frequency (Hz): 2.9500000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.800000e+09	3.494110e+06
2.802000e+09	3.493093e+06
2.804000e+09	3.493480e+06
2.806000e+09	3.493908e+06
2.808000e+09	3.492737e+06
2.810000e+09	3.493873e+06
2.812000e+09	3.493219e+06
2.814000e+09	3.493414e+06
2.816000e+09	3.493093e+06
2.818000e+09	3.493046e+06
2.820000e+09	3.491890e+06
2.822000e+09	3.492253e+06
2.824000e+09	3.490979e+06
2.826000e+09	3.490691e+06
2.828000e+09	3.492664e+06
2.830000e+09	3.492044e+06
2.832000e+09	3.491302e+06
2.834000e+09	3.493282e+06
2.836000e+09	3.492939e+06
2.838000e+09	3.493232e+06
2.840000e+09	3.492610e+06
2.842000e+09	3.492922e+06
2.844000e+09	3.493975e+06
2.846000e+09	3.493008e+06
2.848000e+09	3.492063e+06
2.850000e+09	3.492447e+06
2.852000e+09	3.492096e+06
2.854000e+09	3.492962e+06
2.856000e+09	3.492584e+06
2.858000e+09	3.489630e+06
2.860000e+09	3.491693e+06
2.862000e+09	3.492293e+06
2.864000e+09	3.491629e+06
2.866000e+09	3.493230e+06
2.868000e+09	3.492834e+06
2.870000e+09	3.492949e+06
2.872000e+09	3.494033e+06
2.874000e+09	3.493898e+06
2.876000e+09	3.491997e+06
2.878000e+09	3.492477e+06
2.880000e+09	3.494633e+06
2.882000e+09	3.491206e+06
2.884000e+09	3.491588e+06
2.886000e+09	3.493812e+06
2.888000e+09	3.493086e+06
2.890000e+09	3.491490e+06
2.892000e+09	3.490979e+06
2.894000e+09	3.490666e+06
2.896000e+09	3.493536e+06
2.898000e+09	3.493668e+06
2.900000e+09	3.493167e+06
2.902000e+09	3.493710e+06
2.904000e+09	3.492503e+06
2.906000e+09	3.493436e+06
2.908000e+09	3.493546e+06
2.910000e+09	3.494782e+06
2.912000e+09	3.493399e+06
2.914000e+09	3.493483e+06
2.916000e+09	3.492220e+06
2.918000e+09	3.492351e+06
2.920000e+09	3.491906e+06
2.922000e+09	3.490459e+06
2.924000e+09	3.491106e+06
2.926000e+09	3.491058e+06
2.928000e+09	3.491385e+06
2.930000e+09	3.492115e+06
2.932000e+09	3.493183e+06
2.934000e+09	3.492723e+06
2.936000e+09	3.492669e+06
2.938000e+09	3.492902e+06
2.940000e+09	3.490358e+06
2.942000e+09	3.492555e+06
2.944000e+09	3.491485e+06
2.946000e+09	3.493257e+06
2.948000e+09	3.493341e+06
2.950000e+09	3.492150e+06
