#Saved Data from the class odmr_logic on 15.07.2022 at 16h43m57s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -1.0000000000000000e+01
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 3.0000000000000000e+02
#Number of frequency sweeps (#): 48
#Start Frequency (Hz): 2.7500000000000000e+09
#Stop Frequency (Hz): 2.9900000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 20
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.750000e+09	2.169629e-01
2.752000e+09	2.225718e-01
2.754000e+09	2.297334e-01
2.756000e+09	2.318175e-01
2.758000e+09	2.372586e-01
2.760000e+09	2.382447e-01
2.762000e+09	2.429025e-01
2.764000e+09	2.431333e-01
2.766000e+09	2.473435e-01
2.768000e+09	2.470358e-01
2.770000e+09	2.510642e-01
2.772000e+09	2.504208e-01
2.774000e+09	2.540855e-01
2.776000e+09	2.533162e-01
2.778000e+09	2.567990e-01
2.780000e+09	2.557640e-01
2.782000e+09	2.591000e-01
2.784000e+09	2.580089e-01
2.786000e+09	2.611631e-01
2.788000e+09	2.598693e-01
2.790000e+09	2.629745e-01
2.792000e+09	2.616806e-01
2.794000e+09	2.646879e-01
2.796000e+09	2.631004e-01
2.798000e+09	2.661636e-01
2.800000e+09	2.645830e-01
2.802000e+09	2.675064e-01
2.804000e+09	2.658839e-01
2.806000e+09	2.687373e-01
2.808000e+09	2.670238e-01
2.810000e+09	2.699262e-01
2.812000e+09	2.681568e-01
2.814000e+09	2.709613e-01
2.816000e+09	2.691080e-01
2.818000e+09	2.719544e-01
2.820000e+09	2.700101e-01
2.822000e+09	2.728846e-01
2.824000e+09	2.709053e-01
2.826000e+09	2.736399e-01
2.828000e+09	2.716886e-01
2.830000e+09	2.745491e-01
2.832000e+09	2.724440e-01
2.834000e+09	2.752065e-01
2.836000e+09	2.731154e-01
2.838000e+09	2.759128e-01
2.840000e+09	2.738567e-01
2.842000e+09	2.765772e-01
2.844000e+09	2.745211e-01
2.846000e+09	2.771787e-01
2.848000e+09	2.749407e-01
2.850000e+09	2.778221e-01
2.852000e+09	2.754722e-01
2.854000e+09	2.783536e-01
2.856000e+09	2.761017e-01
2.858000e+09	2.788432e-01
2.860000e+09	2.766122e-01
2.862000e+09	2.792908e-01
2.864000e+09	2.771717e-01
2.866000e+09	2.798503e-01
2.868000e+09	2.774445e-01
2.870000e+09	2.802769e-01
2.872000e+09	2.779900e-01
2.874000e+09	2.806825e-01
2.876000e+09	2.783746e-01
2.878000e+09	2.810672e-01
2.880000e+09	2.787523e-01
2.882000e+09	2.815008e-01
2.884000e+09	2.790740e-01
2.886000e+09	2.817736e-01
2.888000e+09	2.794866e-01
2.890000e+09	2.821302e-01
2.892000e+09	2.798783e-01
2.894000e+09	2.825009e-01
2.896000e+09	2.801650e-01
2.898000e+09	2.828506e-01
2.900000e+09	2.805357e-01
2.902000e+09	2.832073e-01
2.904000e+09	2.808084e-01
2.906000e+09	2.834171e-01
2.908000e+09	2.811511e-01
2.910000e+09	2.836619e-01
2.912000e+09	2.813819e-01
2.914000e+09	2.839416e-01
2.916000e+09	2.816757e-01
2.918000e+09	2.842074e-01
2.920000e+09	2.819624e-01
2.922000e+09	2.844312e-01
2.924000e+09	2.821792e-01
2.926000e+09	2.846760e-01
2.928000e+09	2.825079e-01
2.930000e+09	2.849347e-01
2.932000e+09	2.826897e-01
2.934000e+09	2.851935e-01
2.936000e+09	2.829555e-01
2.938000e+09	2.854383e-01
2.940000e+09	2.832213e-01
2.942000e+09	2.855362e-01
2.944000e+09	2.834730e-01
2.946000e+09	2.857600e-01
2.948000e+09	2.836619e-01
2.950000e+09	2.860187e-01
2.952000e+09	2.837808e-01
2.954000e+09	2.860467e-01
2.956000e+09	2.840116e-01
2.958000e+09	2.862356e-01
2.960000e+09	2.842983e-01
2.962000e+09	2.863405e-01
2.964000e+09	2.844382e-01
2.966000e+09	2.865573e-01
2.968000e+09	2.845501e-01
2.970000e+09	2.866832e-01
2.972000e+09	2.848298e-01
2.974000e+09	2.869069e-01
2.976000e+09	2.849697e-01
2.978000e+09	2.870888e-01
2.980000e+09	2.851935e-01
2.982000e+09	2.871937e-01
2.984000e+09	2.853963e-01
2.986000e+09	2.873056e-01
2.988000e+09	2.854802e-01
2.990000e+09	2.874874e-01
