#Saved Data from the class odmr_logic on 21.07.2022 at 17h10m39s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): -3.0000000000000000e+01
#Microwave Sweep Power (dBm): -5.0000000000000000e+00
#Run Time (s): 2.4000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.7000000000000000e+09
#Stop Frequency (Hz): 3.0000000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 50
#Channel: 1: /Dev1/AI0
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.700000e+09	3.858742e-01
2.702000e+09	3.903117e-01
2.704000e+09	3.940590e-01
2.706000e+09	3.969516e-01
2.708000e+09	3.995155e-01
2.710000e+09	4.019479e-01
2.712000e+09	4.042488e-01
2.714000e+09	4.063525e-01
2.716000e+09	4.084891e-01
2.718000e+09	4.102970e-01
2.720000e+09	4.119405e-01
2.722000e+09	4.135840e-01
2.724000e+09	4.150303e-01
2.726000e+09	4.168053e-01
2.728000e+09	4.180544e-01
2.730000e+09	4.196322e-01
2.732000e+09	4.209141e-01
2.734000e+09	4.221961e-01
2.736000e+09	4.236423e-01
2.738000e+09	4.249243e-01
2.740000e+09	4.261405e-01
2.742000e+09	4.272252e-01
2.744000e+09	4.285072e-01
2.746000e+09	4.294604e-01
2.748000e+09	4.305780e-01
2.750000e+09	4.318928e-01
2.752000e+09	4.327803e-01
2.754000e+09	4.338651e-01
2.756000e+09	4.348512e-01
2.758000e+09	4.357715e-01
2.760000e+09	4.366919e-01
2.762000e+09	4.375137e-01
2.764000e+09	4.386641e-01
2.766000e+09	4.396174e-01
2.768000e+09	4.404063e-01
2.770000e+09	4.411952e-01
2.772000e+09	4.421155e-01
2.774000e+09	4.430030e-01
2.776000e+09	4.438577e-01
2.778000e+09	4.445808e-01
2.780000e+09	4.452711e-01
2.782000e+09	4.461257e-01
2.784000e+09	4.470132e-01
2.786000e+09	4.478350e-01
2.788000e+09	4.484924e-01
2.790000e+09	4.492813e-01
2.792000e+09	4.498072e-01
2.794000e+09	4.506290e-01
2.796000e+09	4.511878e-01
2.798000e+09	4.520424e-01
2.800000e+09	4.527984e-01
2.802000e+09	4.534558e-01
2.804000e+09	4.541132e-01
2.806000e+09	4.547378e-01
2.808000e+09	4.552966e-01
2.810000e+09	4.559540e-01
2.812000e+09	4.566443e-01
2.814000e+09	4.573345e-01
2.816000e+09	4.577947e-01
2.818000e+09	4.585179e-01
2.820000e+09	4.590109e-01
2.822000e+09	4.597670e-01
2.824000e+09	4.602600e-01
2.826000e+09	4.608845e-01
2.828000e+09	4.614433e-01
2.830000e+09	4.619035e-01
2.832000e+09	4.626267e-01
2.834000e+09	4.629883e-01
2.836000e+09	4.636128e-01
2.838000e+09	4.642373e-01
2.840000e+09	4.647961e-01
2.842000e+09	4.654207e-01
2.844000e+09	4.656508e-01
2.846000e+09	4.662753e-01
2.848000e+09	4.668012e-01
2.850000e+09	4.674586e-01
2.852000e+09	4.677545e-01
2.854000e+09	4.681818e-01
2.856000e+09	4.686091e-01
2.858000e+09	4.692665e-01
2.860000e+09	4.696610e-01
2.862000e+09	4.701211e-01
2.864000e+09	4.705813e-01
2.866000e+09	4.709429e-01
2.868000e+09	4.715346e-01
2.870000e+09	4.718304e-01
2.872000e+09	4.724221e-01
2.874000e+09	4.729151e-01
2.876000e+09	4.734739e-01
2.878000e+09	4.736383e-01
2.880000e+09	4.741313e-01
2.882000e+09	4.745915e-01
2.884000e+09	4.750188e-01
2.886000e+09	4.756105e-01
2.888000e+09	4.758077e-01
2.890000e+09	4.763337e-01
2.892000e+09	4.765966e-01
2.894000e+09	4.771883e-01
2.896000e+09	4.774184e-01
2.898000e+09	4.778786e-01
2.900000e+09	4.781087e-01
2.902000e+09	4.785688e-01
2.904000e+09	4.791605e-01
2.906000e+09	4.794563e-01
2.908000e+09	4.798837e-01
2.910000e+09	4.804753e-01
2.912000e+09	4.804753e-01
2.914000e+09	4.810013e-01
2.916000e+09	4.813628e-01
2.918000e+09	4.816258e-01
2.920000e+09	4.820202e-01
2.922000e+09	4.823489e-01
2.924000e+09	4.826776e-01
2.926000e+09	4.831378e-01
2.928000e+09	4.834994e-01
2.930000e+09	4.838938e-01
2.932000e+09	4.840911e-01
2.934000e+09	4.843869e-01
2.936000e+09	4.849457e-01
2.938000e+09	4.851429e-01
2.940000e+09	4.854716e-01
2.942000e+09	4.859318e-01
2.944000e+09	4.861619e-01
2.946000e+09	4.864249e-01
2.948000e+09	4.868522e-01
2.950000e+09	4.872466e-01
2.952000e+09	4.874767e-01
2.954000e+09	4.876411e-01
2.956000e+09	4.880684e-01
2.958000e+09	4.883971e-01
2.960000e+09	4.888244e-01
2.962000e+09	4.891860e-01
2.964000e+09	4.893175e-01
2.966000e+09	4.897119e-01
2.968000e+09	4.901721e-01
2.970000e+09	4.903693e-01
2.972000e+09	4.906980e-01
2.974000e+09	4.908624e-01
2.976000e+09	4.911911e-01
2.978000e+09	4.914869e-01
2.980000e+09	4.917828e-01
2.982000e+09	4.921443e-01
2.984000e+09	4.923087e-01
2.986000e+09	4.926045e-01
2.988000e+09	4.929332e-01
2.990000e+09	4.931633e-01
2.992000e+09	4.935249e-01
2.994000e+09	4.938207e-01
2.996000e+09	4.940179e-01
2.998000e+09	4.944124e-01
3.000000e+09	4.946754e-01
