#Saved Data from the class odmr_logic on 21.07.2022 at 17h48m28s.
#
#Parameters:
#===========
#
#Microwave CW Power (dBm): 0.0000000000000000e+00
#Microwave Sweep Power (dBm): 0.0000000000000000e+00
#Run Time (s): 2.4000000000000000e+02
#Number of frequency sweeps (#): 74
#Start Frequency (Hz): 2.7000000000000000e+09
#Stop Frequency (Hz): 3.0000000000000000e+09
#Step size (Hz): 2.0000000000000000e+06
#Clock Frequencies (Hz): 50
#Channel: 0: /Dev1/Ctr3
#frequency range: 0
#
#Data:
#=====
#frequency (Hz)	count data (counts/s)	
2.700000e+09	3.513430e+06
2.702000e+09	3.512280e+06
2.704000e+09	3.518500e+06
2.706000e+09	3.520835e+06
2.708000e+09	3.521345e+06
2.710000e+09	3.516945e+06
2.712000e+09	3.516170e+06
2.714000e+09	3.520495e+06
2.716000e+09	3.515590e+06
2.718000e+09	3.515020e+06
2.720000e+09	3.516865e+06
2.722000e+09	3.519830e+06
2.724000e+09	3.521305e+06
2.726000e+09	3.514260e+06
2.728000e+09	3.516425e+06
2.730000e+09	3.521710e+06
2.732000e+09	3.522175e+06
2.734000e+09	3.516190e+06
2.736000e+09	3.519740e+06
2.738000e+09	3.526610e+06
2.740000e+09	3.508535e+06
2.742000e+09	3.522825e+06
2.744000e+09	3.523145e+06
2.746000e+09	3.517745e+06
2.748000e+09	3.524495e+06
2.750000e+09	3.517550e+06
2.752000e+09	3.522775e+06
2.754000e+09	3.517945e+06
2.756000e+09	3.514005e+06
2.758000e+09	3.510690e+06
2.760000e+09	3.519270e+06
2.762000e+09	3.522510e+06
2.764000e+09	3.523400e+06
2.766000e+09	3.524940e+06
2.768000e+09	3.513115e+06
2.770000e+09	3.527565e+06
2.772000e+09	3.525870e+06
2.774000e+09	3.510520e+06
2.776000e+09	3.524820e+06
2.778000e+09	3.515210e+06
2.780000e+09	3.520105e+06
2.782000e+09	3.518885e+06
2.784000e+09	3.517875e+06
2.786000e+09	3.518660e+06
2.788000e+09	3.517060e+06
2.790000e+09	3.521280e+06
2.792000e+09	3.516335e+06
2.794000e+09	3.514425e+06
2.796000e+09	3.522115e+06
2.798000e+09	3.523455e+06
2.800000e+09	3.518410e+06
2.802000e+09	3.518860e+06
2.804000e+09	3.516665e+06
2.806000e+09	3.521455e+06
2.808000e+09	3.512270e+06
2.810000e+09	3.517885e+06
2.812000e+09	3.515660e+06
2.814000e+09	3.513520e+06
2.816000e+09	3.519135e+06
2.818000e+09	3.514435e+06
2.820000e+09	3.519010e+06
2.822000e+09	3.522625e+06
2.824000e+09	3.519435e+06
2.826000e+09	3.517095e+06
2.828000e+09	3.515600e+06
2.830000e+09	3.518310e+06
2.832000e+09	3.519645e+06
2.834000e+09	3.516220e+06
2.836000e+09	3.516475e+06
2.838000e+09	3.522350e+06
2.840000e+09	3.518265e+06
2.842000e+09	3.516570e+06
2.844000e+09	3.520845e+06
2.846000e+09	3.516700e+06
2.848000e+09	3.518135e+06
2.850000e+09	3.519605e+06
2.852000e+09	3.507880e+06
2.854000e+09	3.507895e+06
2.856000e+09	3.511160e+06
2.858000e+09	3.518700e+06
2.860000e+09	3.511860e+06
2.862000e+09	3.496805e+06
2.864000e+09	3.472615e+06
2.866000e+09	3.470885e+06
2.868000e+09	3.475320e+06
2.870000e+09	3.503965e+06
2.872000e+09	3.489575e+06
2.874000e+09	3.474100e+06
2.876000e+09	3.476920e+06
2.878000e+09	3.486605e+06
2.880000e+09	3.505755e+06
2.882000e+09	3.508905e+06
2.884000e+09	3.513645e+06
2.886000e+09	3.513215e+06
2.888000e+09	3.513270e+06
2.890000e+09	3.515430e+06
2.892000e+09	3.522550e+06
2.894000e+09	3.522220e+06
2.896000e+09	3.522125e+06
2.898000e+09	3.517305e+06
2.900000e+09	3.523345e+06
2.902000e+09	3.519425e+06
2.904000e+09	3.511790e+06
2.906000e+09	3.512555e+06
2.908000e+09	3.518715e+06
2.910000e+09	3.523720e+06
2.912000e+09	3.517315e+06
2.914000e+09	3.516130e+06
2.916000e+09	3.513835e+06
2.918000e+09	3.513550e+06
2.920000e+09	3.519705e+06
2.922000e+09	3.515125e+06
2.924000e+09	3.519720e+06
2.926000e+09	3.517715e+06
2.928000e+09	3.518720e+06
2.930000e+09	3.514970e+06
2.932000e+09	3.514855e+06
2.934000e+09	3.522360e+06
2.936000e+09	3.515880e+06
2.938000e+09	3.518400e+06
2.940000e+09	3.517690e+06
2.942000e+09	3.515935e+06
2.944000e+09	3.517945e+06
2.946000e+09	3.517755e+06
2.948000e+09	3.520375e+06
2.950000e+09	3.518180e+06
2.952000e+09	3.510195e+06
2.954000e+09	3.521310e+06
2.956000e+09	3.520660e+06
2.958000e+09	3.523930e+06
2.960000e+09	3.522995e+06
2.962000e+09	3.510460e+06
2.964000e+09	3.519835e+06
2.966000e+09	3.528410e+06
2.968000e+09	3.517430e+06
2.970000e+09	3.515835e+06
2.972000e+09	3.516115e+06
2.974000e+09	3.514535e+06
2.976000e+09	3.521990e+06
2.978000e+09	3.523255e+06
2.980000e+09	3.518240e+06
2.982000e+09	3.521880e+06
2.984000e+09	3.520095e+06
2.986000e+09	3.519455e+06
2.988000e+09	3.519340e+06
2.990000e+09	3.520410e+06
2.992000e+09	3.520095e+06
2.994000e+09	3.522360e+06
2.996000e+09	3.519055e+06
2.998000e+09	3.517160e+06
3.000000e+09	3.516685e+06
