#Saved Data from the class pulsed_measurement_logic on 21.07.2022 at 18h52m43s.
#
#Parameters:
#===========
#
#Approx. measurement time (s): 1.2108161392211914e+03
#Measurement sweeps: -1
#Number of laser pulses: 200
#Laser ignore indices: []
#alternating: False
#analysis parameters: {'signal_start': 3.6000000000000005e-08, 'signal_end': 2.1200000000000002e-07, 'norm_start': 1.3920000000000002e-06, 'norm_end': 1.928e-06, 'method': 'mean_norm'}
#extraction parameters: {'conv_std_dev': 10.0, 'flank_width': 0, 'method': 'conv_deriv'}
#fast counter settings: {'bin_width': 1e-09, 'record_length': 3.5e-06, 'number_of_gates': 200, 'is_gated': True}
#
#Data:
#=====
#Controlled variable(s)	Signal
1.000000000000000e-08	9.548266598053410e-01
2.000000000000000e-08	9.537504675735728e-01
3.000000000000000e-08	9.530612411209699e-01
4.000000000000000e-08	9.534022833962013e-01
5.000000000000000e-08	9.556281941896677e-01
5.999999999999999e-08	9.545612631302456e-01
7.000000000000000e-08	9.546905178850849e-01
8.000000000000000e-08	9.523970996504876e-01
9.000000000000000e-08	9.540160584271947e-01
1.000000000000000e-07	9.552118033885877e-01
1.100000000000000e-07	9.541866997093803e-01
1.200000000000000e-07	9.538175596157132e-01
1.300000000000000e-07	9.542446869993308e-01
1.400000000000000e-07	9.511908590246103e-01
1.500000000000000e-07	9.532978167800038e-01
1.600000000000000e-07	9.531883671962839e-01
1.700000000000000e-07	9.529111078278454e-01
1.800000000000000e-07	9.526094198250279e-01
1.900000000000000e-07	9.557266762429931e-01
2.000000000000000e-07	9.556893384798431e-01
2.100000000000000e-07	9.552465144736254e-01
2.200000000000000e-07	9.535443553084405e-01
2.300000000000000e-07	9.543118914620221e-01
2.400000000000000e-07	9.560332383752617e-01
2.500000000000000e-07	9.538376855087360e-01
2.600000000000000e-07	9.538476645987131e-01
2.700000000000000e-07	9.542960447192033e-01
2.800000000000000e-07	9.548991122396852e-01
2.900000000000000e-07	9.557003675832908e-01
3.000000000000000e-07	9.547365787870413e-01
3.100000000000000e-07	9.565649341722190e-01
3.200000000000000e-07	9.557254137103642e-01
3.300000000000000e-07	9.581582432356539e-01
3.400000000000000e-07	9.561749434093030e-01
3.500000000000000e-07	9.571228009702699e-01
3.600000000000000e-07	9.576094609312813e-01
3.700000000000000e-07	9.593264261611723e-01
3.800000000000000e-07	9.597041843803901e-01
3.900000000000000e-07	9.591795282890435e-01
4.000000000000000e-07	9.592683085222505e-01
4.100000000000000e-07	9.587639555688342e-01
4.200000000000000e-07	9.591633632072381e-01
4.300000000000000e-07	9.581492898972724e-01
4.400000000000000e-07	9.564659513239068e-01
4.500000000000000e-07	9.560366833675495e-01
4.600000000000000e-07	9.570132644514144e-01
4.700000000000000e-07	9.572279454375624e-01
4.800000000000000e-07	9.558551083103117e-01
4.900000000000001e-07	9.556709067423853e-01
5.000000000000000e-07	9.549306503928723e-01
5.100000000000000e-07	9.571766064523319e-01
5.200000000000000e-07	9.563072674433566e-01
5.300000000000000e-07	9.544222000019529e-01
5.400000000000000e-07	9.565807458162160e-01
5.500000000000000e-07	9.542151282300763e-01
5.600000000000000e-07	9.523583518794230e-01
5.700000000000000e-07	9.550943300311507e-01
5.800000000000001e-07	9.571267623082480e-01
5.900000000000001e-07	9.552239694086971e-01
6.000000000000000e-07	9.555358914287644e-01
6.100000000000000e-07	9.534767263360935e-01
6.200000000000000e-07	9.557083298307401e-01
6.300000000000000e-07	9.565138065909782e-01
6.400000000000000e-07	9.533823580341612e-01
6.500000000000000e-07	9.566265094824344e-01
6.600000000000000e-07	9.547376014257359e-01
6.700000000000000e-07	9.564575855627160e-01
6.800000000000001e-07	9.564815659170245e-01
6.900000000000001e-07	9.570306007646425e-01
7.000000000000001e-07	9.555624977110042e-01
7.100000000000000e-07	9.558563308106042e-01
7.200000000000000e-07	9.558309828084066e-01
7.300000000000000e-07	9.566699667215159e-01
7.400000000000000e-07	9.564481218612992e-01
7.500000000000000e-07	9.583114978681057e-01
7.600000000000000e-07	9.572023847820026e-01
7.700000000000000e-07	9.548261541059671e-01
7.800000000000000e-07	9.554640713903878e-01
7.900000000000001e-07	9.571989185069870e-01
8.000000000000001e-07	9.562176582374763e-01
8.100000000000000e-07	9.568698558160941e-01
8.200000000000000e-07	9.555900117101204e-01
8.300000000000000e-07	9.589608799336105e-01
8.400000000000000e-07	9.559431244240807e-01
8.500000000000000e-07	9.565913322611598e-01
8.600000000000000e-07	9.552721408690532e-01
8.700000000000000e-07	9.553783262263805e-01
8.800000000000000e-07	9.531049943484868e-01
8.900000000000001e-07	9.546477572300579e-01
9.000000000000001e-07	9.563298655787816e-01
9.100000000000001e-07	9.527367979194661e-01
9.200000000000000e-07	9.541218434233690e-01
9.300000000000000e-07	9.545209688036705e-01
9.400000000000000e-07	9.523533042812843e-01
9.500000000000000e-07	9.522160126682853e-01
9.599999999999999e-07	9.548266043241225e-01
9.700000000000000e-07	9.520962130448984e-01
9.799999999999999e-07	9.530126813212897e-01
9.899999999999998e-07	9.542118701821097e-01
1.000000000000000e-06	9.517160550576587e-01
1.010000000000000e-06	9.530651613438902e-01
1.020000000000000e-06	9.535683508023116e-01
1.030000000000000e-06	9.543008976521089e-01
1.040000000000000e-06	9.520491380266257e-01
1.050000000000000e-06	9.540751012486819e-01
1.060000000000000e-06	9.525935553265676e-01
1.070000000000000e-06	9.523155131250481e-01
1.080000000000000e-06	9.508164802409839e-01
1.090000000000000e-06	9.510951635377687e-01
1.100000000000000e-06	9.525717935804987e-01
1.110000000000000e-06	9.536378743914341e-01
1.120000000000000e-06	9.525552688801148e-01
1.130000000000000e-06	9.534159931377603e-01
1.140000000000000e-06	9.498540019106227e-01
1.150000000000000e-06	9.512062941315453e-01
1.160000000000000e-06	9.521071193893013e-01
1.170000000000000e-06	9.508797157284428e-01
1.180000000000000e-06	9.507340065385914e-01
1.190000000000000e-06	9.496284050458199e-01
1.200000000000000e-06	9.512280336360207e-01
1.210000000000000e-06	9.496468381478003e-01
1.220000000000000e-06	9.497234533005597e-01
1.230000000000000e-06	9.501693018363763e-01
1.240000000000000e-06	9.501211835830649e-01
1.250000000000000e-06	9.512652782936737e-01
1.260000000000000e-06	9.518436534695065e-01
1.270000000000000e-06	9.510484683826371e-01
1.280000000000000e-06	9.514482001798130e-01
1.290000000000000e-06	9.501847816633305e-01
1.300000000000000e-06	9.534300565210798e-01
1.310000000000000e-06	9.522578319776641e-01
1.320000000000000e-06	9.504487900684017e-01
1.330000000000000e-06	9.516178931367915e-01
1.340000000000000e-06	9.512436819369616e-01
1.350000000000000e-06	9.516083787845333e-01
1.360000000000000e-06	9.511809449535720e-01
1.370000000000000e-06	9.514286632357923e-01
1.380000000000000e-06	9.528202079744038e-01
1.390000000000000e-06	9.497823710918433e-01
1.400000000000000e-06	9.499003066671883e-01
1.410000000000000e-06	9.505045502462492e-01
1.420000000000000e-06	9.511765826866241e-01
1.430000000000000e-06	9.518586780484513e-01
1.440000000000000e-06	9.516028710041313e-01
1.450000000000000e-06	9.510132331355978e-01
1.460000000000000e-06	9.511894886386258e-01
1.470000000000000e-06	9.515513494852543e-01
1.480000000000000e-06	9.508529816718454e-01
1.490000000000000e-06	9.504057358755192e-01
1.500000000000000e-06	9.531854849656756e-01
1.510000000000000e-06	9.511484846426079e-01
1.520000000000000e-06	9.531342525436238e-01
1.530000000000000e-06	9.523698304483076e-01
1.540000000000000e-06	9.508011340107667e-01
1.550000000000000e-06	9.518686697188623e-01
1.560000000000000e-06	9.510840698792130e-01
1.570000000000000e-06	9.545235774105147e-01
1.580000000000000e-06	9.532627202442155e-01
1.590000000000000e-06	9.525290013638884e-01
1.600000000000000e-06	9.525223938185098e-01
1.610000000000000e-06	9.530402251147750e-01
1.620000000000000e-06	9.532436931600160e-01
1.630000000000000e-06	9.545090982954867e-01
1.640000000000000e-06	9.503160790218226e-01
1.650000000000000e-06	9.527605867357812e-01
1.660000000000000e-06	9.543312685806324e-01
1.670000000000000e-06	9.544399482737805e-01
1.680000000000000e-06	9.534947548767370e-01
1.690000000000000e-06	9.519350210148874e-01
1.700000000000000e-06	9.522094796154555e-01
1.710000000000000e-06	9.515464860576205e-01
1.720000000000000e-06	9.510223123044709e-01
1.730000000000000e-06	9.523596437730892e-01
1.740000000000000e-06	9.526635382919442e-01
1.750000000000000e-06	9.505932846456785e-01
1.760000000000000e-06	9.527739822139532e-01
1.770000000000000e-06	9.531932961770505e-01
1.780000000000000e-06	9.521096539114438e-01
1.790000000000000e-06	9.513110973002630e-01
1.800000000000000e-06	9.524035057579697e-01
1.810000000000000e-06	9.539219219429336e-01
1.820000000000000e-06	9.522525782121022e-01
1.830000000000000e-06	9.523451154352713e-01
1.840000000000000e-06	9.548848806745566e-01
1.850000000000000e-06	9.534692132954717e-01
1.860000000000000e-06	9.531841308774617e-01
1.870000000000000e-06	9.506742688154610e-01
1.880000000000000e-06	9.518033573552473e-01
1.890000000000000e-06	9.529923411128417e-01
1.900000000000000e-06	9.509437665793129e-01
1.910000000000000e-06	9.528672950834036e-01
1.920000000000000e-06	9.534779750254031e-01
1.930000000000000e-06	9.558785087879075e-01
1.940000000000000e-06	9.541231969224384e-01
1.950000000000000e-06	9.504343108074026e-01
